Text,Date,search_term
"Did you NOT think we’d find out who was delivering bricks to these rioters . How stupid do YOU THINK WE ARE ! Hey Warren &amp; Gates, take your bricks &amp; your vaccine and shove up your a.. ! You globalist scum bags CANNOT defeat America ",06/02/2020,vaccine
Me neither. No vaccine for me pls ,06/02/2020,vaccine
"“If anything, that’s being optimistic; one study found that the average vaccine candidates has only a 6% chance of reaching the market.”",06/02/2020,vaccine
"Walking on the moon was once SciFi. Antibiotics were out of reach, vaccines were scoffed, transplants were never going to happen. Hum I think there’s a pattern. Thank God for the dreamers like Elan Musk to venture out and make a positive step forward. SpaceX.",06/02/2020,vaccine
"My granddaughter takes Hydroxichlorquine and it’s safe! It’s been around for over 50 yrs. costs $13.00 a prescript. Not a big money maker for big pharma, vaccine will cost much more. Follow the money!!",06/02/2020,vaccine
And do we really care? What? Are they suggesting that we not pursue a vaccine? Go around with masks the rest of our lives? Or are they all just plain crazy? I think so. ,06/02/2020,vaccine
Not interested in vaccines! Only care about keeping what this Country was founded on safe!!! #KEEPAMERICAGREAT,06/02/2020,vaccine
"Back to the vaccine pump given little else going right, including the fact that the social unrest will be exacerbated (and sustained) by the economic uncertainties/weaknes #OOTT",06/02/2020,vaccine
Mandatory vaccines coming sooon ,06/02/2020,vaccine
Will the @CDCgov GISRS network “144 labs in 114 countries that collect &amp; diagnose influenza specimens throughout the year &amp; ship these specimens to collaborating centers where they are sequenced &amp; experimentally characterized” continue &amp; update #SARSCoV2 antigens for vaccines ? ,06/02/2020,vaccine
"Per @wallethub survey of over 70 million Americans, 27% won’t feel comfortable staying in a hotel and 21% won’t feel comfortable dining out until a vaccine is out. @MyNews13 #N13Covid19",06/02/2020,vaccine
"There were 8 flu vaccines for 2019, one so far 2020 and now this? I’m not taking it! To many people die from vaccines now days from Gates (he’s not even a Doc) and yet they still listen to him and Fauci. Check out their death toll in other countries on their vaccines!!",06/02/2020,vaccine
Interesting survey done by @wallethub which could have a major impact on @VISITFLORIDA economy. Travel &amp; dining will continue to take a hit until there’s a vaccine. Nearly 4 in 10 Americans won't feel comfortable getting on an until there is a vaccine. @MyNews13 #N13Covid19,06/02/2020,vaccine
"There were 8 flu vaccines for 2019, one so far 2020 and now this? I’m not taking it! To many people die from vaccines now days from Gates (he’s not even a Doc) and yet they still listen to him and Fauci. Check out their death toll in other countries on their vaccines!!",06/02/2020,vaccine
When will the have the vaccine to cure stupidly? We really need one FOR YOU!,06/02/2020,vaccine
This is good news Mr. President! Will be a blessing for any who would like to receive the vaccine. We love you and are praying for you and your family. Stay strong in the Lord and in the power of His might! #VoteRedToSaveAmerica2020,06/02/2020,vaccine
Forget the vaccines! ,06/02/2020,vaccine
... disproportionately affect black people in this country. There may one day be a vaccine for covid-19 but the only way to stop the more police killings is to demand change within our culture that too often continues to see the color of someones skin as evidence of a threat...,06/02/2020,vaccine
You shoot at your people. You think they will trust a vaccine that you are trying to rush through. Anyone that does research knows that to be proven safe it takes years. Go away you vile man. You are not loved or trusted. ,06/02/2020,vaccine
You don’t understand how vaccine development works. ,06/02/2020,vaccine
We sorely need vaccines because of your inept response to the pandemic. If we had testing and tracing it wouldn’t be such an issue but I guess that concept is too advanced for you. Involves math. Obviously not your strongpoint since you continually go bankrupt.,06/02/2020,vaccine
Vaccines are not magic. The timeline is not changed. #EverythingHeSaysIsALie,06/02/2020,vaccine
