Text,Date,search_term
@GovEvers Reminder: #BrendanDassey is INNOCENT and can only be helped by YOU. Hasn’t he already been through enough?! Let him go home where he can protect himself from #Covid_19. #FreeBrendanDassey,04/01/2020,covid-19
@TheVannaWhite Been a fan of yours since the very beginning. I hope you and your family are doing well during COVID-19.,04/01/2020,covid-19
Bate papo sobre os impactos do Covid-19 no automobilismo. Thanks ao amigo @thiagoraposo do @CafeVelocidade pelo convite! Se gostou dá RT.,04/01/2020,covid-19
"Yup, nailed it! Way to go Granny #haha . . . #funnyvideos #funnyaf #nailedit #covid19 #coronavirus #covidiot #coronapocalypse #grannypanties #nowthatsfunny #ijustwetmyself @Florida https://www.instagram.com/p/B-dMRZuFXpQ/?igshid=1e5sqd5umdjwu",04/01/2020,covid-19
"i asked @KueterChase a simple question today: “why don’t you hold my face anymore when you kiss me?” his response? “because of COVID-19, lauren. i’m not taking any chances.”",04/01/2020,covid-19
"Hey @Bose - I’ve called your technical support 3-4 times during operational hours, and you say your closed, and to call back during operational hours. Are you closed due to COVID19 and not telling me? If not, when will you be open? Love that sound. Need connection support.",04/01/2020,covid-19
My cousins own a 7-11 on Long Island and are being kind enough to stay open so people can get essentials. This sign is posted on the front door of their store. Covid-19 isn’t a joke. Stay the fuck home ,04/01/2020,covid-19
"this is not proven. Using NSAIDs generally is not a good thing, but there is no EVIDENCE that it correlates with Covid-19. if anything, ask ur doctor before switching medications. ",04/01/2020,covid-19
I’m seeing commentary around death from SUD and covid-19. The theme comparing mortality Dara and where’s our SUD response like we are seeing now. Please stop that shit. You’re making us look like the people who complain that narcan is free but I have to pay for my insulin,04/01/2020,covid-19
"Do people really not understand why there's a spike in gun sales during the pandemic, while we're seeing scarcity in day-to-day products and food? #Covid19usa #Covid_19 #pandemic",04/01/2020,covid-19
All of these olds on Facebook sharing copy and paste “tips” to prevent covid-19... ,04/01/2020,covid-19
#UniteWithLight Every Wednesday from today until the end of this pandemic we will light up the night with a candle or luminaries in honor of our medical teams and front line warriors in the battle against Covid19 ! I hope you will join us in recognizing these selfless angels! ,04/01/2020,covid-19
Abso-fucking-lutly!!! #Heartbreaking to live in #trumpsamerica #winning Tяump is #willfullyIGNORANT #coronavirus #COVID19 is forever #TrumpVirus #COVIDIOTS #WeDontHaveDays2Waste #StayHome #StayHomeSaveLives #StayHomeStayHealthy,04/01/2020,covid-19
For your leisurely reading... A lot of people dying before Covid19 but we didn't worry about them. Now there's a new platform so we panic and find a soap box to scream from??? ,04/01/2020,covid-19
Lol The Canadian eh snowbirds left Arizona early this year due to COVID-19. I was sad to see them leave because I always enjoy talking to them.,04/01/2020,covid-19
señora: en MÉXICO sólo van a morir los exservidores del PRIAN... del covid-19 nos está cuidando el dr @HLGatell...,04/01/2020,covid-19
"https://twitter.com/nayibbukele/status/1245480801879371781?s=19 , y esta del pte Salvadoreño no te gusta?, hoy muere la segunda víctima del covid-19.",04/01/2020,covid-19
Shout out to @PNCBank for handling me going from angry to tears when a loan payment wiped out my account when it wasn’t supposed to. Your customer service has been top notch for 13 years to me. Thank you #Covid_19,04/01/2020,covid-19
"Cuando Zayra fue puesta en cuarentena (2020) debido al COVID-19, aprovecho el tiempo para ver cursos, dar vueltas en la cama, ver himym, desarrollar sistema de biblioteca, comer, intento de ejercicio, tarea de circuitos, tarea de termodinámica, comer y desarrollo dormir +10hrs ",04/01/2020,covid-19
See how @MDNG is helping by distributing more than one million items of medical supplies to protect our Maryland citizens from COVID-19. #covid19nationalguard #TOGETHER https://news.maryland.gov/ng/2020/04/01/1-million-med-items/,04/01/2020,covid-19
"Thank you @davidjtrone for your steadfast commitment to hard working Americans during the #COVID19 crisis. More needs to be done, but the CARES Act was an important first step to providing critical economic relief to hoteliers who are struggling to stay open for business.",04/01/2020,covid-19
"Una periodista y un escritor hablando sobre lo que debe hacer un empresario con sus ""millonarias"" ganancias.... Que fácil es ver los toros desde la barrera de la ignorancia... Empresarios deben...l Covid-19 en México: Mesa ",04/01/2020,covid-19
"Thank you @ChrisVanHollen for your steadfast commitment to hard working Americans during the #COVID19 crisis. More needs to be done, but the CARES Act was an important first step to providing critical economic relief to hoteliers who are struggling to stay open for business.",04/01/2020,covid-19
"Columbus | Test results: One physician, three employees at CRH test positive for COVID-19 ",04/01/2020,covid-19
" Yeah but, @realDonaldTrump You are also #1inCovid19Pandamic https://thebulwark.com/warnings-ignored-a-timeline-of-trumps-covid-19-response/ Warnings Ignored: A Timeline of Trump's COVID-19 Response #TrumpLiedPeopleDied #WhiteHouseBriefing",04/01/2020,covid-19
"Like si no soy el único que se siente mal a veces, le duele la cabeza o garganta y lo primero que piensa es en #Covid19",04/01/2020,covid-19
" Animo para todos #construco #construccion #independintes #emprendedores #covid19 en Tlaquepaque, Jalisco https://www.instagram.com/p/B-dPXwjBZP-/?igshid=m5emw9s3jekv",04/01/2020,covid-19
Worst apocalypse ever #coronavirus #dragqueen #lgbt #covid19 ,04/01/2020,covid-19
British cigarette giant claims it has developed a coronavirus vaccine https://mol.im/a/8175471 via @MailOnline #COVID #Covid_19 #FDA The U.S. The WHO Vaccine,04/01/2020,covid-19
"With the shipping distribution of food still catching up, today hubby and I included a secondary into the mix to get 60 seniors some groceries before our next big shopping! #COVID19 #AngelaCARES #LegislateEducateEmpower #Communitygivers #volunteers #groceriesforseniors",04/01/2020,covid-19
"@SenatorCardin Thank you for your leadership during the #COVID19 crisis. We applaud the passage of the CARES Act as an important first step to saving jobs and rescuing our country’s economy, but more needs to be done to save the hotel industry.",04/01/2020,covid-19
Abso-fucking-lutly!!! #Heartbreaking to live in #trumpsamerica #winning Tяump is #willfullyIGNORANT #coronavirus #COVID19 is forever #TrumpVirus #COVIDIOTS #WeDontHaveDays2Waste #StayHome #StayHomeSaveLives #StayHomeStayHealthy,04/01/2020,covid-19
15 San Diegans Have Died from COVID-19; Cases Reach 849 ,04/01/2020,covid-19
Coronavirus outbreak: How long are COVID-19 restrictions expected to las... https://youtu.be/Kah_k8kKTJU via @YouTube,04/01/2020,covid-19
#çavabienaller @ManuvieCA #covid19 ,04/01/2020,covid-19
As a medical interpreter I can confirm. They have also left in-person medical interpreters unprotected. Exposed to #Covid_19. Denying them #PPE to properly and safely do their work. I speak from personal experience. It has made many of us choose to #StayHome and not go to work.,04/01/2020,covid-19
Update: the person at my job who has COVID-19 works on the same floor as i do. FUCK.,04/01/2020,covid-19
.@francoislegault se débrouille-t-il vraiment mieux que Doug Ford dans la gestion de la crise ? Des éléments de réponse avec les politologues @F_Berard et @DrSChouinard. #onfronpoli #covid19 ,04/01/2020,covid-19
Tonight on Harborview Rd on #JamesIsland #feedthelowcountry #chs #lowcountry #charleston #foodinsecurity #freepantry #freefood #community #covid19 #cleanhandsopenhearts @Martin Luther Lutheran Church https://www.instagram.com/p/B-dPOBehg6A/?igshid=53wy0ne8td7m,04/01/2020,covid-19
Abso-fucking-lutly!!! #Heartbreaking to live in #trumpsamerica #winning Tяump is #willfullyIGNORANT #coronavirus #COVID19 is forever #TrumpVirus #COVIDIOTS #WeDontHaveDays2Waste #StayHome #StayHomeSaveLives #StayHomeStayHealthy,04/01/2020,covid-19
Self-care for psychologists during the COVID-19 outbreak https://www.apa.org/news/apa/2020/03/psychologists-self-care via @APA,04/01/2020,covid-19
"This social distancing interviewing is getting easier thanks to the @Intermountain studio at our Transformation Center, #PatRich &amp; @Jess_Intermtn Today @E_Stenehjem talked live to @fox13 about testing, numbers, &amp; preparation. #COVID19 ",04/01/2020,covid-19
Trump said media was in hysteria mode & that COVID-19 was just like the flu. Now he’s saying that he felt it was a pandemic before it was called a pandemic. We lost valuable time to prepare in the process. Rex tweeting facts isn’t dividing us; he’s just keeping receipts. ,04/01/2020,covid-19
"This is how 31-year old Mitch Hensley can see his children. The healthy Greenbrier father and husband has #Covid19. A mild case, he was told. Mitch is in quarantine in one part of their home. His wife Christie and the kids are in another. (1) ",04/01/2020,covid-19
"Thank you #BBCanada for donating this years prize money to a much needed #COVID19 initiation. What a very very classy move. We will miss this cast but as Arissa cox said, it was the right and only choice to make. COVID19 is bigger than us all. #CanadaStrongBaby #CanadaStrong",04/01/2020,covid-19
WATCH: How to boost immunity to help fight disease #COVID19 #coronavirus #drinkjuice #nadiakotsos,04/01/2020,covid-19
This is crazy!!! #coronavirus #COVID19 #podcasting,04/01/2020,covid-19
¿Qué hacer si te atrasas con tus pagos durante esta crisis? El @IME_SRE nos invita a ver este video preparado por Hispanic Wealth sobre qué hacer y a quién acudir en caso de que tus finanzas se vean afectadas a consecuencia del #COVID19. https://youtu.be/CU1jz8q9vXo.,04/01/2020,covid-19
"well it's not much, but this one is dedicated to the front-line workers of NYC, the first city I ever knew hang in there, this will all be a memory some day #COVID19 #NYCStrong",04/01/2020,covid-19
Montana Governor Bullock is doing everything right in our fight against this virus. If only the federal government would help with supplies and testing.#Covid_19 ,04/01/2020,covid-19
No worries - I’m in East central IL waiting out Covid19 with my elderly parents. Most of the time I’m in Atlanta (in section 104 at all the home games). This region restriction is KILLING me),04/01/2020,covid-19
Si tuvieran que sacrificar una app del cel para detener la pandemia del Covid 19 ¿Cuál sería y por qué Whatsaap?,04/01/2020,covid-19
"Josie is even wondering how long this quarantine will last... #COVID19 #Coronavirus @Wilmington, Ohio https://www.instagram.com/p/B-dPFqLh6SzqkBFozIV8f-cQC23rlRHAWCCjJg0/?igshid=q746ibwd5acv",04/01/2020,covid-19
