Date,search_term,Sentiment_Pred_x,TweetCleaned,Sentiment_Pred_y,Sentiment_Score
05/24/2020,covid,242,500,500,0.484
05/24/2020,covid-19,268,500,500,0.536
05/24/2020,lockdown,314,499,499,0.6292585170340681
05/24/2020,lysol,44,60,60,0.7333333333333333
05/24/2020,pandemic,286,500,500,0.572
05/24/2020,quarantine,280,500,500,0.56
05/24/2020,vaccine,318,431,431,0.7378190255220418
05/25/2020,covid,251,500,500,0.502
05/25/2020,covid-19,256,499,499,0.5130260521042084
05/25/2020,lockdown,285,500,500,0.57
05/25/2020,lysol,41,51,51,0.803921568627451
05/25/2020,pandemic,299,500,500,0.598
05/25/2020,quarantine,277,500,500,0.554
05/25/2020,vaccine,280,373,373,0.7506702412868632
05/26/2020,covid,277,500,500,0.554
05/26/2020,covid-19,285,500,500,0.57
05/26/2020,lockdown,292,500,500,0.584
05/26/2020,lysol,39,59,59,0.6610169491525424
05/26/2020,pandemic,314,500,500,0.628
05/26/2020,quarantine,280,500,500,0.56
05/26/2020,vaccine,287,390,390,0.735897435897436
05/27/2020,covid,275,500,500,0.55
05/27/2020,covid-19,276,500,500,0.552
05/27/2020,lockdown,297,500,500,0.594
05/27/2020,lysol,43,53,53,0.8113207547169812
05/27/2020,pandemic,283,500,500,0.566
05/27/2020,quarantine,289,500,500,0.578
05/27/2020,vaccine,311,402,402,0.7736318407960199
05/28/2020,covid,297,500,500,0.594
05/28/2020,covid-19,306,500,500,0.612
05/28/2020,lockdown,312,499,499,0.625250501002004
05/28/2020,lysol,34,46,46,0.7391304347826086
05/28/2020,pandemic,299,500,500,0.598
05/28/2020,quarantine,295,500,500,0.59
05/28/2020,vaccine,250,329,329,0.7598784194528876
05/29/2020,lysol,31,43,43,0.7209302325581395
05/29/2020,vaccine,212,278,278,0.762589928057554
06/01/2020,covid,249,500,500,0.498
06/01/2020,covid-19,233,500,500,0.466
06/01/2020,lockdown,177,334,334,0.5299401197604791
06/01/2020,lysol,7,9,9,0.7777777777777778
06/01/2020,pandemic,235,500,500,0.47
